,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Dingle,11.0,122.67,83.41,77,0,5.82
1,Puerto Madryn,-42.77,-65.04,66.79,47,0,5.82
2,Hithadhoo,-0.6,73.08,81.82,79,0,5.82
3,Klaksvík,62.23,-6.59,50.0,93,0,5.82
4,Albany,42.6,-73.97,42.66,71,0,5.82
5,Castro,-24.79,-50.01,62.44,91,0,5.82
6,San Juan del Cesar,10.77,-73.0,74.08,92,0,5.82
7,Mataura,-46.19,168.86,76.96,21,0,5.82
8,Belmonte,-15.86,-38.88,77.0,73,0,5.82
9,Ilulissat,69.22,-51.1,24.8,68,0,5.82
10,Teya,60.38,92.63,15.67,94,0,5.82
11,Hirara,24.8,125.28,73.4,100,0,5.82
12,Saint George,37.1,-113.58,55.63,30,0,5.82
13,Bethel,41.37,-73.41,44.74,91,0,5.82
14,Sioux Lookout,50.1,-91.92,23.0,79,0,5.82
15,Punta Arenas,-53.15,-70.92,51.8,66,0,5.82
16,George Town,5.41,100.34,78.4,88,0,5.82
17,Susner,23.95,76.08,62.73,71,0,5.82
18,Tiksi,71.69,128.87,0.43,94,0,5.82
19,Nivala,63.92,24.97,39.0,97,0,5.82
20,Atuona,-9.8,-139.03,78.37,70,0,5.82
21,Vangaindrano,-23.35,47.6,69.53,92,0,5.82
22,Merauke,-8.47,140.33,87.78,53,0,5.82
23,Barrow,71.29,-156.79,10.4,78,0,5.82
24,Saint-Pierre,-21.34,55.48,67.57,68,0,5.82
25,Jinka,5.65,36.65,62.85,75,0,5.82
26,São Filipe,14.9,-24.5,81.68,60,0,5.82
27,Tuktoyaktuk,69.45,-133.04,1.4,84,0,5.82
28,Fort Nelson,58.81,-122.7,8.6,78,0,5.82
29,Saldanha,-33.01,17.94,59.0,58,0,5.82
30,Trairi,-3.28,-39.27,79.63,77,0,5.82
31,Bluff,-46.6,168.33,59.58,56,0,5.82
32,Nikolskoye,59.7,30.79,37.54,86,0,5.82
33,Don Luan,11.53,106.92,74.25,77,0,5.82
34,Mayo,38.89,-76.51,48.94,93,0,5.82
35,Rawson,-43.3,-65.1,68.94,40,0,5.82
36,Talnakh,69.49,88.4,-11.2,76,0,5.82
37,Goderich,43.75,-81.72,32.0,69,0,5.82
38,Chokurdakh,70.63,147.92,-12.93,90,0,5.82
39,Thayetmyo,19.32,95.18,72.68,85,0,5.82
40,Mossendjo,-2.95,12.73,70.83,97,0,5.82
